"countrycode","country","currency_unit","year","rgdpe","rgdpo","pop","emp","avh","hc","ccon","cda","cgdpe","cgdpo","cn","ck","ctfp","cwtfp","rgdpna","rconna","rdana","rnna","rkna","rtfpna","rwtfpna","labsh","irr","delta","xr","pl_con","pl_da","pl_gdpo","i_cig","i_xm","i_xr","i_outlier","i_irr","cor_exp","statcap","csh_c","csh_i","csh_g","csh_x","csh_m","csh_r","pl_c","pl_i","pl_g","pl_x","pl_m","pl_n","pl_k","rgdpo.pop","Country Name","Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary","Barro-Lee: Percentage of population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary)","Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Completed Tertiary","Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary)","Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary","Barro-Lee: Percentage of population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary)","Duration of compulsory education (years)","Elderly literacy rate, population 65+ years, adjusted gender parity index (GPIA)","Elderly literacy rate, population 65+ years, adjusted location parity index (LPIA)","Elderly literacy rate, population 65+ years, both sexes (%)","Human Capital Index (HCI): Expected Years of School, Total","Human Capital Index (HCI): Expected Years of School, Female","Human Capital Index (HCI): Expected Years of School, Male","Number of years of free pre-primary education guaranteed in legal frameworks","Number of years of free primary and secondary education guaranteed in legal frameworks","yrs_sch","fdi","voc","Years.Ratio","European.Average","gen","year_orig","rgdpo.pop.roll","log.rgdpo.pop"
"GBR","United Kingdom","Pound Sterling",1970,905981.625,928294.75,55.573453,24.70074654,1870.894407,2.74150753,736753.75,979638.0625,896192.4375,900147.4375,3401047.25,0.157895237,0.746391356,0.81001085,1031309.188,762158.3125,1017984.25,4227484,0.260977358,0.818821907,0.771680474,0.551431835,0.140478864,0.037591908,0.416666999,0.150999576,0.14581944,0.14517878,"Benchmark","Extrapolated","Market-based","Regular","Regular",0.867218509,NA,0.6417014,0.269827217,0.176779836,0.13225767,-0.145614266,-0.07495182,0.152344853,0.1301063,0.146116301,0.162539542,0.165735543,0.086244963,0.985436976,16703.92426,"United Kingdom","4.42","7.63","5.5","14.54","4.8899999999999997","7.48",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.06,1.1387286,0,0.99012345,0.9013237,1,0,16690.44972,9.72339895642879
"GBR","United Kingdom","Pound Sterling",1975,936961.4375,989252.5625,56.152333,24.90545464,1814.079593,2.854560852,870667.375,1078438.75,934464.5,956727.25,2908283.75,0.122456975,0.830967009,0.945301592,1139717.125,879188.5625,1124995.875,5090930,0.315193325,0.823299408,0.775903165,0.551431835,0.099526808,0.037494592,0.452041166,0.254526764,0.258687884,0.252668291,"Benchmark","Extrapolated","Market-based","Regular","Regular",0.845590368,NA,0.687602341,0.217168897,0.222445294,0.190378234,-0.202600554,-0.114994161,0.254228413,0.276125014,0.255448967,0.240154818,0.274401188,0.232238218,1.403548241,17617.30118,"United Kingdom","5.53","9.5299999999999994","6.01","15.87","6.31","9.66",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.39,1.3726761,0,0.9717979,0.9104558,1,5,18406.524926,9.77663671976784
"GBR","United Kingdom","Pound Sterling",1980,1201736.25,1246676.5,56.209171,25.03955269,1785.396382,2.972275972,1071063.5,1296698.625,1198582.25,1198470.375,3223614.5,0.119747423,0.945328891,1.029726863,1272791,957516,1205805.5,5801163.5,0.361869365,0.850096822,0.768925726,0.551431835,0.095454909,0.036842193,0.430294999,0.458442718,0.4713521,0.471396089,"Benchmark","Extrapolated","Market-based","Regular","Regular",0.893553592,NA,0.646432936,0.188269243,0.24725914,0.212819591,-0.221161962,-0.073618956,0.478043795,0.532631397,0.407197833,0.44912532,0.449750125,0.494509667,1.971668959,22179.23655,"United Kingdom","5.5","9.5500000000000007","4.57","12.09","6.47","9.92",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.52,1.7918197,0,1.0261594,0.932804,1,10,21640.718962,10.0069118396627
"GBR","United Kingdom","Pound Sterling",1985,1255544.25,1287015.5,56.413553,24.5027256,1748.081732,3.082670927,1072486.125,1355348.125,1254154.25,1252302.5,3441629.5,0.109964356,0.937661111,0.981388569,1429725.25,1053965.625,1358726,6426020.5,0.404268205,0.911789417,0.827312827,0.551431835,0.112466685,0.034640606,0.779246,0.393483311,0.390108526,0.39068535,"Benchmark","Benchmark","Market-based","Regular","Regular",0.883262675,NA,0.664845109,0.225873545,0.191566288,0.218157008,-0.236770526,-0.063671395,0.387237638,0.377313048,0.415159285,0.370543689,0.369490445,0.363699377,1.156568766,22813.94154,"United Kingdom","6.22","10.9","5.13","13.65","7.3","11.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.76,1.1192803,0,1.0539273,0.9449358,1,15,22908.843352,10.0351270991229
"GBR","United Kingdom","Pound Sterling",1990,1439709.75,1445536.75,57.134391,26.70350075,1745.944085,3.197166204,1201897.875,1556210.375,1436922.25,1406169.375,4052509.5,0.122629911,0.85088402,0.930094361,1698124.875,1277189.625,1668343.75,7647216,0.501646519,0.920073628,0.863046885,0.575843632,0.099303506,0.035088006,0.563177167,0.776202381,0.760802269,0.777441025,"Interpolated","Benchmark","Market-based","Regular","Regular",NA,NA,0.692082584,0.251970023,0.162649393,0.233548224,-0.293156296,-0.047093939,0.749493122,0.708562136,0.889851868,0.564845562,0.545259714,0.742530346,1.647866249,25300.6416,"United Kingdom","9","15.38","11.2","29.7","9.85","15.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.28,3.7838056,0,1.0032362,0.9564895,1,20,24807.668036,10.1385850340779
"GBR","United Kingdom","Pound Sterling",1995,1627492.625,1626361,57.932453,25.66979218,1722.625249,3.349738359,1197076.25,1602275.375,1606654,1579336.5,5152430.5,0.125444397,0.863714874,0.865634561,1840006.125,1390399.5,1828736.375,8693445,0.582493424,0.939038694,0.891068757,0.544222295,0.166605011,0.036373798,0.63366812,0.909854174,0.835078299,0.849522471,"Benchmark","Benchmark","Market-based","Regular","Regular",NA,NA,0.615858376,0.256562889,0.142103061,0.244519606,-0.281893253,0.022849288,0.883320391,0.614168525,1.024848461,0.605937064,0.586247683,0.518841088,1.625163078,28073.40128,"United Kingdom","11.1","18.79","14.14","37.590000000000003","11.89","18.32",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.67,2.1638389,0,0.99896693,0.97792596,1,25,27942.749868,10.2425778333726
"GBR","United Kingdom","Pound Sterling",2000,2101197.5,2075158.75,58.923309,27.38034821,1692.953954,3.509591341,1655331.25,2094680.375,2057960.375,2041666.625,5987333,0.120741472,0.931796312,0.91959691,2195091.25,1704216,2250711.75,9890288,0.689695537,0.986971617,0.966201842,0.588405013,0.119918004,0.036579031,0.660930833,0.834465623,0.805708349,0.812138498,"Benchmark","Benchmark","Market-based","Regular","Regular",NA,NA,0.65668571,0.215191409,0.154088825,0.291065574,-0.34743616,0.030404663,0.822387695,0.697360158,0.885938525,0.496416658,0.52865386,0.672879755,1.519099355,35217.96018,"United Kingdom","12.83","21.56","7.94","21.01","15.23","23.33","11",NA,NA,NA,NA,NA,NA,"2","13",9.97,9.851013,0,1.0070423,0.9831894,1,30,34477.415004,10.4693114638483
"GBR","United Kingdom","Pound Sterling",2005,2369775.25,2377112.25,60.287954,28.67258644,1669.737173,3.605062723,1925166.75,2447224.5,2389001.5,2335020.25,6797018,0.111335188,0.973952472,0.946873188,2507101.25,2010384.875,2630195,11144025,0.789127827,1.030456662,1.032147288,0.594801188,0.109529957,0.036877956,0.549998333,1.114964247,1.060193539,1.084703207,"Benchmark","Benchmark","Market-based","Regular","Regular",0.828410281,NA,0.656345904,0.22357735,0.168129474,0.300704211,-0.377686381,0.028929424,1.073517323,0.858218491,1.276764989,0.559709132,0.598703682,0.986214995,1.792973042,39429.30706,"United Kingdom","13.77","23.09","14.23","37.33","15.76","23.91","11",NA,NA,NA,NA,NA,NA,"2","13",11.57,9.928201,0,0.9931094,0.9951139,0,35,38374.074016,10.5822646527888
"GBR","United Kingdom","Pound Sterling",2010,2546775.25,2481864.75,63.459808,29.42511749,1643.207828,3.703131437,2046720,2609154.5,2559553.25,2460576.25,10976813,0.154636651,0.830926895,0.849713922,2572214.75,2071775,2674350.75,12244237,0.877792478,0.990949154,0.983690321,0.599280894,0.093526512,0.037447538,0.647179346,1.03852582,0.969536245,1.008535981,"Benchmark","Benchmark","Market-based","Regular","Regular",NA,NA,0.635589719,0.228578329,0.196215436,0.264535308,-0.388551593,0.063632764,1.015725374,0.718480587,1.112381816,0.648323834,0.656861961,0.669241786,1.041111112,39109.23824,"United Kingdom","15.31","25.5","8.77","22.86","18.78","28.34","11",NA,NA,NA,NA,NA,NA,"2","13",12.46,2.678599,0,0.98724085,1.0017622,0,40,39125.525078,10.5741139901884
"GBR","United Kingdom","Pound Sterling",2015,2913114.75,2807567.5,65.860146,31.5069294,1669.465155,3.742114305,2229549.25,2948516.5,2905721.75,2790772,13923109,0.175581545,0.787526786,0.802218854,2842980.25,2253321.25,2989638.25,13176753,0.954061329,1.000943065,1.004962921,0.5850752,0.099165045,0.038229544,0.654545479,1.101932764,1.009313703,1.050886512,"ICP PPP timeseries: benchmark or interpolated","Benchmark","Market-based","Regular","Regular",0.798569368,NA,0.606714547,0.257623076,0.192185953,0.254682571,-0.3523826,0.04117645,1.112939477,0.722098053,1.067185521,0.656051755,0.640877068,0.630525887,0.939777076,42629.23286,"United Kingdom",NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,"2","13",12.67,1.5446568,1,0.9921383,1.0013992,0,45,NA,10.6602955142889
